书名,链接,评分,导演,主演,类型,制片国家/地区,年份
叶卡捷琳娜大帝 Catherine the Great,https://movie.douban.com/subject/30127581/,6.6 (2870人评价), 菲利普·马丁, 海伦·米伦 / 杰森·克拉克 / 罗里·金尼尔, 剧情 / 历史, 英国, 2019
安娜·卡列尼娜 Anna Karénina,https://movie.douban.com/subject/25660911/,8.6 (9334人评价), 克里斯丁·杜瓦, 桑地亚哥·卡布瑞拉 / 维多利亚·普契尼 / 安吉拉·莫利纳, 剧情 / 爱情, 意大利, 2013
名利场 Vanity Fair,https://movie.douban.com/subject/27080735/,7.7 (4187人评价), 詹姆斯·斯特朗, 奥利维亚·库克 / 强尼·弗林 / 克劳迪亚·杰西, 剧情, 英国, 2018
野性的呼唤 The Call of the Wild,https://movie.douban.com/subject/27199324/,7.0 (48140人评价), 克里斯·桑德斯, 哈里森·福特 / 丹·史蒂文斯 / 凯伦·吉兰, 剧情 / 冒险, 加拿大/美国/葡萄牙, 2020
夜色温柔 Tender Is The Night,https://movie.douban.com/subject/2344274/,7.1 (113人评价), 亨利·金, 珍妮弗·琼斯 / 琼·芳登 / 杰森·罗巴兹, 剧情, 美国, 1962
红字 Der Scharlachrote Buchstabe,https://movie.douban.com/subject/2230737/,6.0 (361人评价), 维姆·文德斯, 森塔·伯格 / 汉斯·克里斯蒂安·布勒希 / 洛乌·卡斯特尔, 剧情 / 历史, 西德/西班牙, 1973
简爱 Jane Eyre,https://movie.douban.com/subject/1422992/,8.0 (31563人评价), 佛朗哥·泽菲雷里, 夏洛特·甘斯布 / 威廉·赫特 / 琼·普莱怀特, 剧情 / 爱情, 法国/意大利/英国/美国, 1996
威尼斯商人 The Merchant of Venice,https://movie.douban.com/subject/1309121/,7.7 (15379人评价), 迈克尔·莱德福, 阿尔·帕西诺 / 约瑟夫·费因斯 / 杰瑞米·艾恩斯, 剧情, 美国/意大利/卢森堡/英国, 2004
罗宾汉 Robin Hood,https://movie.douban.com/subject/2062677/,6.8 (28428人评价), 雷德利·斯科特, 罗素·克劳 / 凯特·布兰切特 / 马克斯·冯·叙多夫, 剧情 / 动作 / 冒险, 美国/英国, 2010
三个火枪手 The Three Musketeers,https://movie.douban.com/subject/4035906/,6.7 (57844人评价), 保罗·安德森, 罗根·勒曼 / 马修·麦克费登 / 米拉·乔沃维奇, 动作 / 冒险 / 爱情, 美国/德国/法国/英国, 2011
悲惨世界 Les Miserables,https://movie.douban.com/subject/1300466/,7.9 (84人评价), 刘易斯·迈尔斯通, 迈克尔·伦尼 / 罗伯特·牛顿 / 黛博拉·佩吉特, 剧情 / 历史 / 爱情, 美国, 1952
印度之行 A Passage to India,https://movie.douban.com/subject/1291834/,8.0 (4871人评价), 大卫·里恩, 朱迪·戴维斯 / 维克多·班纳杰 / 佩吉·阿什克罗福特, 冒险 / 剧情 / 历史, 英国/美国, 1985
简爱 Jane Eyre,https://movie.douban.com/subject/1308579/,8.1 (6239人评价), 德尔伯特·曼, 乔治·C·斯科特 / 苏珊娜·约克 / 伊安·邦纳, 剧情, 英国/美国, 1970
理智与情感 Sense & Sensibility,https://movie.douban.com/subject/2035007/,8.2 (18756人评价), 约翰·亚历山大, 哈蒂·莫拉汉 / 查丽蒂·维克菲尔德 / 大卫·莫瑞瑟, 剧情 / 爱情, 英国, 2008
查泰莱夫人的情人 Lady Chatterley's Lover,https://movie.douban.com/subject/25955488/,6.2 (7345人评价), 杰德·默丘里奥, 荷丽黛·格兰杰 / 詹姆斯·诺顿 / 理查德·麦登, 剧情 / 爱情, 英国, 2015
浮生梦 My Cousin Rachel,https://movie.douban.com/subject/26635987/,6.5 (5258人评价), 罗杰·米歇尔, 山姆·克拉弗林 / 蕾切尔·薇兹 / 伊恩·格雷, 剧情 / 爱情 / 悬疑, 英国/美国, 2017
